Total Nacional;Comunidades y Ciudades Autonomas;Titular de la vivienda;Periodo;Total
Total Nacional;16 Pais Vasco;Persona fisica;2016;193
Total Nacional;16 Pais Vasco;Persona fisica;2015;261
Total Nacional;16 Pais Vasco;Persona fisica;2014;267
Total Nacional;16 Pais Vasco;Persona juridica;2023;22
Total Nacional;16 Pais Vasco;Persona juridica;2022;5
Total Nacional;16 Pais Vasco;Persona juridica;2021;14
Total Nacional;16 Pais Vasco;Persona juridica;2020;4
Total Nacional;16 Pais Vasco;Persona juridica;2019;13
Total Nacional;16 Pais Vasco;Persona juridica;2018;12
Total Nacional;16 Pais Vasco;Persona juridica;2017;27
Total Nacional;16 Pais Vasco;Persona juridica;2016;36
Total Nacional;16 Pais Vasco;Persona juridica;2015;36
Total Nacional;16 Pais Vasco;Persona juridica;2014;91
Total Nacional;17 Rioja, La;Total;2023;100
Total Nacional;17 Rioja, La;Total;2022;108
Total Nacional;17 Rioja, La;Total;2021;136
Total Nacional;17 Rioja, La;Total;2020;154
Total Nacional;17 Rioja, La;Total;2019;143
Total Nacional;17 Rioja, La;Total;2018;495
Total Nacional;17 Rioja, La;Total;2017;165
Total Nacional;17 Rioja, La;Total;2016;284
Total Nacional;17 Rioja, La;Total;2015;272
Total Nacional;17 Rioja, La;Total;2014;333
Total Nacional;17 Rioja, La;Persona fisica;2023;84
Total Nacional;17 Rioja, La;Persona fisica;2022;96
Total Nacional;17 Rioja, La;Persona fisica;2021;121
Total Nacional;17 Rioja, La;Persona fisica;2020;92
Total Nacional;17 Rioja, La;Persona fisica;2019;29
Total Nacional;17 Rioja, La;Persona fisica;2018;40
Total Nacional;17 Rioja, La;Persona fisica;2017;110
Total Nacional;17 Rioja, La;Persona fisica;2016;171
Total Nacional;17 Rioja, La;Persona fisica;2015;212
Total Nacional;17 Rioja, La;Persona fisica;2014;162
Total Nacional;17 Rioja, La;Persona juridica;2023;16
Total Nacional;17 Rioja, La;Persona juridica;2022;12
Total Nacional;17 Rioja, La;Persona juridica;2021;15
Total Nacional;17 Rioja, La;Persona juridica;2020;62
Total Nacional;17 Rioja, La;Persona juridica;2019;114
Total Nacional;17 Rioja, La;Persona juridica;2018;455
Total Nacional;17 Rioja, La;Persona juridica;2017;55
Total Nacional;17 Rioja, La;Persona juridica;2016;113
Total Nacional;17 Rioja, La;Persona juridica;2015;60
Total Nacional;17 Rioja, La;Persona juridica;2014;171
Total Nacional;18 Ceuta;Total;2023;7
Total Nacional;18 Ceuta;Total;2022;9
Total Nacional;18 Ceuta;Total;2021;30
Total Nacional;18 Ceuta;Total;2020;25
Total Nacional;18 Ceuta;Total;2019;2
Total Nacional;18 Ceuta;Total;2018;6
Total Nacional;18 Ceuta;Total;2017;47
Total Nacional;18 Ceuta;Total;2016;12
Total Nacional;18 Ceuta;Total;2015;17
Total Nacional;18 Ceuta;Total;2014;32
Total Nacional;18 Ceuta;Persona fisica;2023;7
Total Nacional;18 Ceuta;Persona fisica;2022;6
Total Nacional;18 Ceuta;Persona fisica;2021;11
Total Nacional;18 Ceuta;Persona fisica;2020;1
Total Nacional;18 Ceuta;Persona fisica;2019;1
Total Nacional;18 Ceuta;Persona fisica;2018;5
Total Nacional;18 Ceuta;Persona fisica;2017;25
Total Nacional;18 Ceuta;Persona fisica;2016;8
Total Nacional;18 Ceuta;Persona fisica;2015;13
Total Nacional;18 Ceuta;Persona fisica;2014;16
Total Nacional;18 Ceuta;Persona juridica;2023;0
Total Nacional;18 Ceuta;Persona juridica;2022;3
Total Nacional;18 Ceuta;Persona juridica;2021;19
Total Nacional;18 Ceuta;Persona juridica;2020;24
Total Nacional;18 Ceuta;Persona juridica;2019;1
Total Nacional;18 Ceuta;Persona juridica;2018;1
Total Nacional;18 Ceuta;Persona juridica;2017;22
Total Nacional;18 Ceuta;Persona juridica;2016;4
Total Nacional;18 Ceuta;Persona juridica;2015;4
Total Nacional;18 Ceuta;Persona juridica;2014;16
Total Nacional;19 Melilla;Total;2023;3
Total Nacional;19 Melilla;Total;2022;2
Total Nacional;19 Melilla;Total;2021;4
Total Nacional;19 Melilla;Total;2020;4
Total Nacional;19 Melilla;Total;2019;5
Total Nacional;19 Melilla;Total;2018;7
Total Nacional;19 Melilla;Total;2017;13
Total Nacional;19 Melilla;Total;2016;30
Total Nacional;19 Melilla;Total;2015;21
Total Nacional;19 Melilla;Total;2014;8
Total Nacional;19 Melilla;Persona fisica;2023;3
Total Nacional;19 Melilla;Persona fisica;2022;2
Total Nacional;19 Melilla;Persona fisica;2021;4
Total Nacional;19 Melilla;Persona fisica;2020;2
Total Nacional;19 Melilla;Persona fisica;2019;5
Total Nacional;19 Melilla;Persona fisica;2018;7
Total Nacional;19 Melilla;Persona fisica;2017;11
Total Nacional;19 Melilla;Persona fisica;2016;17
Total Nacional;19 Melilla;Persona fisica;2015;5
Total Nacional;19 Melilla;Persona fisica;2014;8
Total Nacional;19 Melilla;Persona juridica;2023;0
Total Nacional;19 Melilla;Persona juridica;2022;0
Total Nacional;19 Melilla;Persona juridica;2021;0
Total Nacional;19 Melilla;Persona juridica;2020;2
Total Nacional;19 Melilla;Persona juridica;2019;0
Total Nacional;19 Melilla;Persona juridica;2018;0
Total Nacional;19 Melilla;Persona juridica;2017;2
Total Nacional;19 Melilla;Persona juridica;2016;13
Total Nacional;19 Melilla;Persona juridica;2015;16
Total Nacional;19 Melilla;Persona juridica;2014;0
