ambito,comunidad,titular,periodo,total,com_cod,com_nom,lag_1,lag_2,rolling_mean_2
Total Nacional,16 Pais Vasco,Total,2020,117,16,Pais Vasco,85.0,101.0,93.0
Total Nacional,16 Pais Vasco,Total,2021,239,16,Pais Vasco,117.0,85.0,101.0
Total Nacional,16 Pais Vasco,Total,2022,188,16,Pais Vasco,239.0,117.0,178.0
Total Nacional,16 Pais Vasco,Total,2023,176,16,Pais Vasco,188.0,239.0,213.5
Total Nacional,"17 Rioja, La",Persona física,2016,171,17,"Rioja, La",212.0,162.0,187.0
Total Nacional,"17 Rioja, La",Persona física,2017,110,17,"Rioja, La",171.0,212.0,191.5
Total Nacional,"17 Rioja, La",Persona física,2018,40,17,"Rioja, La",110.0,171.0,140.5
Total Nacional,"17 Rioja, La",Persona física,2019,29,17,"Rioja, La",40.0,110.0,75.0
Total Nacional,"17 Rioja, La",Persona física,2020,92,17,"Rioja, La",29.0,40.0,34.5
Total Nacional,"17 Rioja, La",Persona física,2021,121,17,"Rioja, La",92.0,29.0,60.5
Total Nacional,"17 Rioja, La",Persona física,2022,96,17,"Rioja, La",121.0,92.0,106.5
Total Nacional,"17 Rioja, La",Persona física,2023,84,17,"Rioja, La",96.0,121.0,108.5
Total Nacional,"17 Rioja, La",Persona jurídica,2016,113,17,"Rioja, La",60.0,171.0,115.5
Total Nacional,"17 Rioja, La",Persona jurídica,2017,55,17,"Rioja, La",113.0,60.0,86.5
Total Nacional,"17 Rioja, La",Persona jurídica,2018,455,17,"Rioja, La",55.0,113.0,84.0
Total Nacional,"17 Rioja, La",Persona jurídica,2019,114,17,"Rioja, La",455.0,55.0,255.0
Total Nacional,"17 Rioja, La",Persona jurídica,2020,62,17,"Rioja, La",114.0,455.0,284.5
Total Nacional,"17 Rioja, La",Persona jurídica,2021,15,17,"Rioja, La",62.0,114.0,88.0
Total Nacional,"17 Rioja, La",Persona jurídica,2022,12,17,"Rioja, La",15.0,62.0,38.5
Total Nacional,"17 Rioja, La",Persona jurídica,2023,16,17,"Rioja, La",12.0,15.0,13.5
Total Nacional,"17 Rioja, La",Total,2016,284,17,"Rioja, La",272.0,333.0,302.5
Total Nacional,"17 Rioja, La",Total,2017,165,17,"Rioja, La",284.0,272.0,278.0
Total Nacional,"17 Rioja, La",Total,2018,495,17,"Rioja, La",165.0,284.0,224.5
Total Nacional,"17 Rioja, La",Total,2019,143,17,"Rioja, La",495.0,165.0,330.0
Total Nacional,"17 Rioja, La",Total,2020,154,17,"Rioja, La",143.0,495.0,319.0
Total Nacional,"17 Rioja, La",Total,2021,136,17,"Rioja, La",154.0,143.0,148.5
Total Nacional,"17 Rioja, La",Total,2022,108,17,"Rioja, La",136.0,154.0,145.0
Total Nacional,"17 Rioja, La",Total,2023,100,17,"Rioja, La",108.0,136.0,122.0
Total Nacional,Total Nacional,Persona física,2016,27189,0,Total Nacional,39151.0,44939.0,42045.0
Total Nacional,Total Nacional,Persona física,2017,14422,0,Total Nacional,27189.0,39151.0,33170.0
Total Nacional,Total Nacional,Persona física,2018,9041,0,Total Nacional,14422.0,27189.0,20805.5
Total Nacional,Total Nacional,Persona física,2019,7382,0,Total Nacional,9041.0,14422.0,11731.5
Total Nacional,Total Nacional,Persona física,2020,9692,0,Total Nacional,7382.0,9041.0,8211.5
Total Nacional,Total Nacional,Persona física,2021,15138,0,Total Nacional,9692.0,7382.0,8537.0
Total Nacional,Total Nacional,Persona física,2022,14343,0,Total Nacional,15138.0,9692.0,12415.0
Total Nacional,Total Nacional,Persona física,2023,11369,0,Total Nacional,14343.0,15138.0,14740.5
Total Nacional,Total Nacional,Persona jurídica,2016,14099,0,Total Nacional,20881.0,25483.0,23182.0
Total Nacional,Total Nacional,Persona jurídica,2017,13297,0,Total Nacional,14099.0,20881.0,17490.0
Total Nacional,Total Nacional,Persona jurídica,2018,17206,0,Total Nacional,13297.0,14099.0,13698.0
Total Nacional,Total Nacional,Persona jurídica,2019,20106,0,Total Nacional,17206.0,13297.0,15251.5
Total Nacional,Total Nacional,Persona jurídica,2020,9228,0,Total Nacional,20106.0,17206.0,18656.0
Total Nacional,Total Nacional,Persona jurídica,2021,5556,0,Total Nacional,9228.0,20106.0,14667.0
Total Nacional,Total Nacional,Persona jurídica,2022,2789,0,Total Nacional,5556.0,9228.0,7392.0
Total Nacional,Total Nacional,Persona jurídica,2023,1782,0,Total Nacional,2789.0,5556.0,4172.5
Total Nacional,Total Nacional,Total,2016,41288,0,Total Nacional,60032.0,70422.0,65227.0
Total Nacional,Total Nacional,Total,2017,27719,0,Total Nacional,41288.0,60032.0,50660.0
Total Nacional,Total Nacional,Total,2018,26247,0,Total Nacional,27719.0,41288.0,34503.5
Total Nacional,Total Nacional,Total,2019,27488,0,Total Nacional,26247.0,27719.0,26983.0
Total Nacional,Total Nacional,Total,2020,18920,0,Total Nacional,27488.0,26247.0,26867.5
Total Nacional,Total Nacional,Total,2021,20694,0,Total Nacional,18920.0,27488.0,23204.0
Total Nacional,Total Nacional,Total,2022,17132,0,Total Nacional,20694.0,18920.0,19807.0
Total Nacional,Total Nacional,Total,2023,13151,0,Total Nacional,17132.0,20694.0,18913.0
