ambito,comunidad,titular,periodo,total,com_cod,com_nom,lag_1,lag_2,rolling_mean_2
Total Nacional,01 Andalucia,Persona física,2016,7604,1,Andalucia,9941.0,8755.0,9348.0
Total Nacional,01 Andalucia,Persona física,2017,4409,1,Andalucia,7604.0,9941.0,8772.5
Total Nacional,01 Andalucia,Persona física,2018,2513,1,Andalucia,4409.0,7604.0,6006.5
Total Nacional,01 Andalucia,Persona física,2019,1802,1,Andalucia,2513.0,4409.0,3461.0
Total Nacional,01 Andalucia,Persona física,2020,2013,1,Andalucia,1802.0,2513.0,2157.5
Total Nacional,01 Andalucia,Persona física,2021,3674,1,Andalucia,2013.0,1802.0,1907.5
Total Nacional,01 Andalucia,Persona física,2022,3745,1,Andalucia,3674.0,2013.0,2843.5
Total Nacional,01 Andalucia,Persona física,2023,2863,1,Andalucia,3745.0,3674.0,3709.5
Total Nacional,01 Andalucia,Persona jurídica,2016,3971,1,Andalucia,6305.0,7714.0,7009.5
Total Nacional,01 Andalucia,Persona jurídica,2017,3368,1,Andalucia,3971.0,6305.0,5138.0
Total Nacional,01 Andalucia,Persona jurídica,2018,2691,1,Andalucia,3368.0,3971.0,3669.5
Total Nacional,01 Andalucia,Persona jurídica,2019,4046,1,Andalucia,2691.0,3368.0,3029.5
Total Nacional,01 Andalucia,Persona jurídica,2020,1640,1,Andalucia,4046.0,2691.0,3368.5
Total Nacional,01 Andalucia,Persona jurídica,2021,1083,1,Andalucia,1640.0,4046.0,2843.0
Total Nacional,01 Andalucia,Persona jurídica,2022,759,1,Andalucia,1083.0,1640.0,1361.5
Total Nacional,01 Andalucia,Persona jurídica,2023,576,1,Andalucia,759.0,1083.0,921.0
Total Nacional,01 Andalucia,Total,2016,11575,1,Andalucia,16246.0,16469.0,16357.5
Total Nacional,01 Andalucia,Total,2017,7777,1,Andalucia,11575.0,16246.0,13910.5
Total Nacional,01 Andalucia,Total,2018,5204,1,Andalucia,7777.0,11575.0,9676.0
Total Nacional,01 Andalucia,Total,2019,5848,1,Andalucia,5204.0,7777.0,6490.5
Total Nacional,01 Andalucia,Total,2020,3653,1,Andalucia,5848.0,5204.0,5526.0
Total Nacional,01 Andalucia,Total,2021,4757,1,Andalucia,3653.0,5848.0,4750.5
Total Nacional,01 Andalucia,Total,2022,4504,1,Andalucia,4757.0,3653.0,4205.0
Total Nacional,01 Andalucia,Total,2023,3439,1,Andalucia,4504.0,4757.0,4630.5
Total Nacional,02 Aragon,Persona física,2016,729,2,Aragon,826.0,951.0,888.5
Total Nacional,02 Aragon,Persona física,2017,286,2,Aragon,729.0,826.0,777.5
Total Nacional,02 Aragon,Persona física,2018,121,2,Aragon,286.0,729.0,507.5
Total Nacional,02 Aragon,Persona física,2019,217,2,Aragon,121.0,286.0,203.5
Total Nacional,02 Aragon,Persona física,2020,277,2,Aragon,217.0,121.0,169.0
Total Nacional,02 Aragon,Persona física,2021,310,2,Aragon,277.0,217.0,247.0
Total Nacional,02 Aragon,Persona física,2022,255,2,Aragon,310.0,277.0,293.5
Total Nacional,02 Aragon,Persona física,2023,173,2,Aragon,255.0,310.0,282.5
Total Nacional,02 Aragon,Persona jurídica,2016,195,2,Aragon,461.0,536.0,498.5
Total Nacional,02 Aragon,Persona jurídica,2017,243,2,Aragon,195.0,461.0,328.0
Total Nacional,02 Aragon,Persona jurídica,2018,371,2,Aragon,243.0,195.0,219.0
Total Nacional,02 Aragon,Persona jurídica,2019,250,2,Aragon,371.0,243.0,307.0
Total Nacional,02 Aragon,Persona jurídica,2020,106,2,Aragon,250.0,371.0,310.5
Total Nacional,02 Aragon,Persona jurídica,2021,94,2,Aragon,106.0,250.0,178.0
Total Nacional,02 Aragon,Persona jurídica,2022,101,2,Aragon,94.0,106.0,100.0
Total Nacional,02 Aragon,Persona jurídica,2023,30,2,Aragon,101.0,94.0,97.5
Total Nacional,02 Aragon,Total,2016,924,2,Aragon,1287.0,1487.0,1387.0
Total Nacional,02 Aragon,Total,2017,529,2,Aragon,924.0,1287.0,1105.5
Total Nacional,02 Aragon,Total,2018,492,2,Aragon,529.0,924.0,726.5
Total Nacional,02 Aragon,Total,2019,467,2,Aragon,492.0,529.0,510.5
Total Nacional,02 Aragon,Total,2020,383,2,Aragon,467.0,492.0,479.5
Total Nacional,02 Aragon,Total,2021,404,2,Aragon,383.0,467.0,425.0
Total Nacional,02 Aragon,Total,2022,356,2,Aragon,404.0,383.0,393.5
Total Nacional,02 Aragon,Total,2023,203,2,Aragon,356.0,404.0,380.0
Total Nacional,"03 Asturias, Principado de",Persona física,2016,298,3,"Asturias, Principado de",412.0,433.0,422.5
Total Nacional,"03 Asturias, Principado de",Persona física,2017,207,3,"Asturias, Principado de",298.0,412.0,355.0
Total Nacional,"03 Asturias, Principado de",Persona física,2018,225,3,"Asturias, Principado de",207.0,298.0,252.5
Total Nacional,"03 Asturias, Principado de",Persona física,2019,140,3,"Asturias, Principado de",225.0,207.0,216.0
Total Nacional,"03 Asturias, Principado de",Persona física,2020,205,3,"Asturias, Principado de",140.0,225.0,182.5
Total Nacional,"03 Asturias, Principado de",Persona física,2021,246,3,"Asturias, Principado de",205.0,140.0,172.5
Total Nacional,"03 Asturias, Principado de",Persona física,2022,206,3,"Asturias, Principado de",246.0,205.0,225.5
Total Nacional,"03 Asturias, Principado de",Persona física,2023,159,3,"Asturias, Principado de",206.0,246.0,226.0
Total Nacional,"03 Asturias, Principado de",Persona jurídica,2016,96,3,"Asturias, Principado de",191.0,141.0,166.0
Total Nacional,"03 Asturias, Principado de",Persona jurídica,2017,79,3,"Asturias, Principado de",96.0,191.0,143.5
Total Nacional,"03 Asturias, Principado de",Persona jurídica,2018,249,3,"Asturias, Principado de",79.0,96.0,87.5
Total Nacional,"03 Asturias, Principado de",Persona jurídica,2019,195,3,"Asturias, Principado de",249.0,79.0,164.0
Total Nacional,"03 Asturias, Principado de",Persona jurídica,2020,94,3,"Asturias, Principado de",195.0,249.0,222.0
Total Nacional,"03 Asturias, Principado de",Persona jurídica,2021,91,3,"Asturias, Principado de",94.0,195.0,144.5
Total Nacional,"03 Asturias, Principado de",Persona jurídica,2022,45,3,"Asturias, Principado de",91.0,94.0,92.5
Total Nacional,"03 Asturias, Principado de",Persona jurídica,2023,14,3,"Asturias, Principado de",45.0,91.0,68.0
Total Nacional,"03 Asturias, Principado de",Total,2016,394,3,"Asturias, Principado de",603.0,574.0,588.5
Total Nacional,"03 Asturias, Principado de",Total,2017,286,3,"Asturias, Principado de",394.0,603.0,498.5
Total Nacional,"03 Asturias, Principado de",Total,2018,474,3,"Asturias, Principado de",286.0,394.0,340.0
Total Nacional,"03 Asturias, Principado de",Total,2019,335,3,"Asturias, Principado de",474.0,286.0,380.0
Total Nacional,"03 Asturias, Principado de",Total,2020,299,3,"Asturias, Principado de",335.0,474.0,404.5
Total Nacional,"03 Asturias, Principado de",Total,2021,337,3,"Asturias, Principado de",299.0,335.0,317.0
Total Nacional,"03 Asturias, Principado de",Total,2022,251,3,"Asturias, Principado de",337.0,299.0,318.0
Total Nacional,"03 Asturias, Principado de",Total,2023,173,3,"Asturias, Principado de",251.0,337.0,294.0
Total Nacional,"04 Balears, Illes",Persona física,2016,621,4,"Balears, Illes",994.0,1199.0,1096.5
Total Nacional,"04 Balears, Illes",Persona física,2017,383,4,"Balears, Illes",621.0,994.0,807.5
Total Nacional,"04 Balears, Illes",Persona física,2018,162,4,"Balears, Illes",383.0,621.0,502.0
Total Nacional,"04 Balears, Illes",Persona física,2019,139,4,"Balears, Illes",162.0,383.0,272.5
Total Nacional,"04 Balears, Illes",Persona física,2020,140,4,"Balears, Illes",139.0,162.0,150.5
Total Nacional,"04 Balears, Illes",Persona física,2021,170,4,"Balears, Illes",140.0,139.0,139.5
Total Nacional,"04 Balears, Illes",Persona física,2022,179,4,"Balears, Illes",170.0,140.0,155.0
Total Nacional,"04 Balears, Illes",Persona física,2023,125,4,"Balears, Illes",179.0,170.0,174.5
Total Nacional,"04 Balears, Illes",Persona jurídica,2016,132,4,"Balears, Illes",334.0,742.0,538.0
Total Nacional,"04 Balears, Illes",Persona jurídica,2017,131,4,"Balears, Illes",132.0,334.0,233.0
Total Nacional,"04 Balears, Illes",Persona jurídica,2018,233,4,"Balears, Illes",131.0,132.0,131.5
Total Nacional,"04 Balears, Illes",Persona jurídica,2019,272,4,"Balears, Illes",233.0,131.0,182.0
Total Nacional,"04 Balears, Illes",Persona jurídica,2020,231,4,"Balears, Illes",272.0,233.0,252.5
Total Nacional,"04 Balears, Illes",Persona jurídica,2021,54,4,"Balears, Illes",231.0,272.0,251.5
Total Nacional,"04 Balears, Illes",Persona jurídica,2022,144,4,"Balears, Illes",54.0,231.0,142.5
Total Nacional,"04 Balears, Illes",Persona jurídica,2023,44,4,"Balears, Illes",144.0,54.0,99.0
Total Nacional,"04 Balears, Illes",Total,2016,753,4,"Balears, Illes",1328.0,1941.0,1634.5
Total Nacional,"04 Balears, Illes",Total,2017,514,4,"Balears, Illes",753.0,1328.0,1040.5
Total Nacional,"04 Balears, Illes",Total,2018,395,4,"Balears, Illes",514.0,753.0,633.5
Total Nacional,"04 Balears, Illes",Total,2019,411,4,"Balears, Illes",395.0,514.0,454.5
Total Nacional,"04 Balears, Illes",Total,2020,371,4,"Balears, Illes",411.0,395.0,403.0
Total Nacional,"04 Balears, Illes",Total,2021,224,4,"Balears, Illes",371.0,411.0,391.0
Total Nacional,"04 Balears, Illes",Total,2022,323,4,"Balears, Illes",224.0,371.0,297.5
Total Nacional,"04 Balears, Illes",Total,2023,169,4,"Balears, Illes",323.0,224.0,273.5
Total Nacional,05 Canarias,Persona física,2016,1100,5,Canarias,1824.0,1981.0,1902.5
Total Nacional,05 Canarias,Persona física,2017,799,5,Canarias,1100.0,1824.0,1462.0
Total Nacional,05 Canarias,Persona física,2018,519,5,Canarias,799.0,1100.0,949.5
Total Nacional,05 Canarias,Persona física,2019,267,5,Canarias,519.0,799.0,659.0
Total Nacional,05 Canarias,Persona física,2020,295,5,Canarias,267.0,519.0,393.0
Total Nacional,05 Canarias,Persona física,2021,548,5,Canarias,295.0,267.0,281.0
Total Nacional,05 Canarias,Persona física,2022,492,5,Canarias,548.0,295.0,421.5
Total Nacional,05 Canarias,Persona física,2023,426,5,Canarias,492.0,548.0,520.0
Total Nacional,05 Canarias,Persona jurídica,2016,912,5,Canarias,1197.0,2907.0,2052.0
Total Nacional,05 Canarias,Persona jurídica,2017,550,5,Canarias,912.0,1197.0,1054.5
Total Nacional,05 Canarias,Persona jurídica,2018,885,5,Canarias,550.0,912.0,731.0
Total Nacional,05 Canarias,Persona jurídica,2019,372,5,Canarias,885.0,550.0,717.5
Total Nacional,05 Canarias,Persona jurídica,2020,302,5,Canarias,372.0,885.0,628.5
Total Nacional,05 Canarias,Persona jurídica,2021,362,5,Canarias,302.0,372.0,337.0
Total Nacional,05 Canarias,Persona jurídica,2022,124,5,Canarias,362.0,302.0,332.0
